ID,Year,Impact.factor,Peer.reviewed,Acoustic.Indices,Taxonomic.group,Environment,Biodiversity.parameter,Diversity.source,Pseudoreplication,Pseudoreplication.type,sample.size,Adjusted.sample.size,Independence,Statistical_test,R2,r,MSE,st_error,t,F,df,Significacion,slope,confidence _interval
53,2019,4.49,YES,Hf,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,Hf,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.105,NA,"0,001–0,901"
53,2019,4.49,YES,Hf,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.01,NA,NA,NA,NA,NA,0.515,NA,"0,026–0,977"
53,2019,4.49,YES,Hf,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0,NA,NA,NA,NA,NA,0.462,NA,"0,020–0,973"
53,2019,4.49,YES,Ht,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,Ht,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.4,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,Ht,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,-0.4,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,Ht,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0.1,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,Ht,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,0.1,NA,NA,NA,NA,NA,0.024,NA,"0,002–0,194"
53,2019,4.49,YES,Ht,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.01,NA,NA,NA,NA,NA,0.328,NA,"0,010–0,961"
53,2019,4.49,YES,ADI,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,ADI,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.2,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,022"
53,2019,4.49,YES,ADI,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.02,NA,"0,001–0,492"
53,2019,4.49,YES,ADI,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0.1,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,032"
53,2019,4.49,YES,ADI,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,0.1,NA,NA,NA,NA,NA,0.208,NA,"0,052–0,815"
53,2019,4.49,YES,ADI,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.1,NA,NA,NA,NA,NA,0.117,NA,"0,001–0,882"
53,2019,4.49,YES,AEI,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,AEI,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,AEI,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.2,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,AEI,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.2,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,AEI,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.092,NA,"0,006–0,787"
53,2019,4.49,YES,AEI,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.024,NA,"0,001–0,613"
53,2019,4.49,YES,BIO,birds,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,004"
53,2019,4.49,YES,BIO,birds,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,0.2,NA,NA,NA,NA,NA,0.002,NA,"0,001–0,482"
53,2019,4.49,YES,BIO,birds,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,0.3,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
53,2019,4.49,YES,BIO,anurans,T,richness,acoustic,NO,NA,798,33,1,spearman,NA,0.1,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,009"
53,2019,4.49,YES,BIO,anurans,T,richness,acoustic,NO,NA,258,11,2,spearman,NA,-0.1,NA,NA,NA,NA,NA,0.044,NA,"0,001–0,655"
53,2019,4.49,YES,BIO,anurans,T,richness,acoustic,NO,NA,771,32,3,spearman,NA,-0.2,NA,NA,NA,NA,NA,0.001,NA,"0,001–0,001"
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,1,spearman,NA,0.67,NA,NA,NA,NA,NA,0.07,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,2,spearman,NA,0.81,NA,NA,NA,NA,NA,0.01,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,3,spearman,NA,0.54,NA,NA,NA,NA,NA,0.17,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,4,spearman,NA,0.58,NA,NA,NA,NA,NA,0.13,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,1,spearman,NA,-0.12,NA,NA,NA,NA,NA,0.79,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,2,spearman,NA,0.28,NA,NA,NA,NA,NA,0.5,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,3,spearman,NA,-0.17,NA,NA,NA,NA,NA,0.7,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,4,spearman,NA,-0.05,NA,NA,NA,NA,NA,0.93,NA,NA
11,2016,4.26,YES,ACI,fish,A,diversity,no_acoustic,NO,NA,8,8,1,spearman,NA,0.76,NA,NA,NA,NA,NA,0.03,NA,NA
11,2016,4.26,YES,ACI,fish,A,diversity,no_acoustic,NO,NA,8,8,2,spearman,NA,0.38,NA,NA,NA,NA,NA,0.36,NA,NA
11,2016,4.26,YES,ACI,fish,A,diversity,no_acoustic,NO,NA,8,8,3,spearman,NA,0.67,NA,NA,NA,NA,NA,0.07,NA,NA
11,2016,4.26,YES,ACI,fish,A,diversity,no_acoustic,NO,NA,8,8,4,spearman,NA,0.57,NA,NA,NA,NA,NA,0.15,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,1,spearman,NA,0.71,NA,NA,NA,NA,NA,0.04,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,2,spearman,NA,0.78,NA,NA,NA,NA,NA,0.03,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,3,spearman,NA,0.55,NA,NA,NA,NA,NA,0.17,NA,NA
11,2016,4.26,YES,ACI,fish,A,richness,no_acoustic,NO,NA,8,8,4,spearman,NA,0.59,NA,NA,NA,NA,NA,0.13,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,1,spearman,NA,-0.12,NA,NA,NA,NA,NA,0.79,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,2,spearman,NA,0.28,NA,NA,NA,NA,NA,0.5,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,3,spearman,NA,-0.17,NA,NA,NA,NA,NA,0.7,NA,NA
11,2016,4.26,YES,ACI,fish,A,abundance,no_acoustic,NO,NA,8,8,4,spearman,NA,-0.04,NA,NA,NA,NA,NA,0.93,NA,NA
251,2016,2.44,YES,ACI,birds,T,sound_abundance,acoustic,NO,NA,25380,282,1,GLM,0.694,NA,NA,NA,NA,NA,NA,0.001,NA,NA
251,2016,2.44,YES,ACI,birds,T,sound_abundance,acoustic,NO,NA,25380,282,1,GLM,0.25,NA,NA,NA,NA,NA,NA,0.002,NA,NA
251,2016,2.44,YES,ACI,birds,T,sound_abundance,acoustic,NO,NA,25380,282,1,GLM,0.16,NA,NA,NA,NA,NA,NA,0.003,NA,NA
251,2016,2.44,YES,ACI,birds,T,richness,acoustic,NO,NA,12960,72,2,GLM,0.5,NA,NA,0.007,3.143,NA,NA,0.01,0.022,NA
251,2016,2.44,YES,ACI,birds,T,diversity,acoustic,NO,NA,12960,72,2,GLM,0.32,NA,NA,0.12,2.083,NA,NA,0.06,0.25,NA
251,2016,2.44,YES,ACI,birds,T,diversity,acoustic,NO,NA,12960,72,2,GLM,0.24,NA,NA,0.4,1.8,NA,NA,0.1,0.72,NA
2,2015,2.18,YES,ACI,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.1,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,ACI,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.08,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Ht,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.02,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Ht,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.04,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Hf,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.06,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Hf,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,M,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.11,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,M,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.15,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,AR,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.2,NA,NA,NA,NA,NA,0.05,NA,NA
2,2015,2.18,YES,AR,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.19,NA,NA,NA,NA,NA,0.05,NA,NA
2,2015,2.18,YES,NP,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,NP,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.02,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,ACI,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.49,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,ACI,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.5,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Ht,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.5,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Ht,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.53,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Hf,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.3,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,Hf,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.34,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,M,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.44,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,M,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.47,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,AR,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.04,NA,NA,NA,NA,NA,0.05,NA,NA
2,2015,2.18,YES,AR,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,-0.06,NA,NA,NA,NA,NA,0.05,NA,NA
2,2015,2.18,YES,NP,invertebrates,A,sound_richness,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.34,NA,NA,NA,NA,NA,0.001,NA,NA
2,2015,2.18,YES,NP,invertebrates,A,sound_abundance,acoustic,YES,Spatial_temporal,332,4,1,spearman,NA,0.36,NA,NA,NA,NA,NA,0.001,NA,NA
89,2017,1.82,YES,ACI,birds,T,richness,acoustic,YES,Temporal,180,60,1,pearson,NA,0.597,NA,NA,NA,NA,NA,NA,NA,NA
89,2017,1.82,YES,ACI,birds,T,sound_abundance,acoustic,YES,Temporal,180,60,1,pearson,NA,0.898,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,ADI,birds,T,richness,acoustic,YES,Temporal,180,60,1,pearson,NA,-0.953,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,ADI,birds,T,sound_abundance,acoustic,YES,Temporal,180,60,1,pearson,NA,-0.709,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,AEI,birds,T,richness,acoustic,YES,Temporal,180,60,1,pearson,NA,0.978,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,AEI,birds,T,sound_abundance,acoustic,YES,Temporal,180,60,1,pearson,NA,0.774,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,H,birds,T,richness,acoustic,YES,Temporal,180,60,1,pearson,NA,0.795,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,H,birds,T,sound_abundance,acoustic,YES,Temporal,180,60,1,pearson,NA,0.985,NA,NA,NA,NA,NA,0.7,NA,NA
89,2017,1.82,YES,BIO,birds,T,richness,acoustic,YES,Temporal,180,60,1,pearson,NA,-0.544,NA,NA,NA,NA,NA,NA,NA,NA
89,2017,1.82,YES,BIO,birds,T,sound_abundance,acoustic,YES,Temporal,180,60,1,pearson,NA,-0.099,NA,NA,NA,NA,NA,NA,NA,NA
89,2017,1.82,YES,NDSI,birds,T,richness,acoustic,YES,Temporal,180,60,1,pearson,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA
89,2017,1.82,YES,NDSI,birds,T,sound_abundance,acoustic,YES,Temporal,180,60,1,pearson,NA,0.483,NA,NA,NA,NA,NA,NA,NA,NA
9,2016,5.71,YES,ACI,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.73,NA,NA,NA,NA,NA,0.05,NA,NA
9,2016,5.71,YES,ACI,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.81,NA,NA,NA,NA,NA,0.01,NA,NA
9,2016,5.71,YES,ACI,fish,A,richness,no_acoustic,NO,NA,9,9,1,pearson,NA,0.28,NA,NA,NA,NA,NA,0.75,NA,NA
9,2016,5.71,YES,AR,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.1,NA,NA,NA,NA,NA,0.98,NA,NA
9,2016,5.71,YES,AR,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.31,NA,NA,NA,NA,NA,0.41,NA,NA
9,2016,5.71,YES,AR,fish,A,richness,no_acoustic,NO,NA,9,9,1,pearson,NA,0.49,NA,NA,NA,NA,NA,0.18,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,-0.18,NA,NA,NA,NA,NA,0.649,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,-0.03,NA,NA,NA,NA,NA,0.94,NA,NA
9,2016,5.71,YES,H,fish,A,richness,no_acoustic,NO,NA,9,9,1,pearson,NA,0.28,NA,NA,NA,NA,NA,0.47,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.21,NA,NA,NA,NA,NA,0.58,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.61,NA,NA,NA,NA,NA,0.05,NA,NA
9,2016,5.71,YES,H,fish,A,richness,no_acoustic,NO,NA,9,9,1,pearson,NA,0.65,NA,NA,NA,NA,NA,0.05,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.23,NA,NA,NA,NA,NA,0.55,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.61,NA,NA,NA,NA,NA,0.05,NA,NA
9,2016,5.71,YES,H,fish,A,richness,no_acoustic,NO,NA,9,9,1,pearson,NA,0.64,NA,NA,NA,NA,NA,0.05,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.24,NA,NA,NA,NA,NA,0.52,NA,NA
9,2016,5.71,YES,H,fish,A,diversity,no_acoustic,NO,NA,9,9,1,pearson,NA,0.61,NA,NA,NA,NA,NA,0.05,NA,NA
9,2016,5.71,YES,H,fish,A,richness,no_acoustic,NO,NA,9,9,1,pearson,NA,0.64,NA,NA,NA,NA,NA,0.05,NA,NA
2977,2018,4.49,YES,ACI,birds,T,richness,acoustic,YES,spatial,96,9,1,spearman,NA,0.5,NA,NA,NA,NA,NA,0,NA,NA
2977,2018,4.49,YES,ACI,birds,T,richness,acoustic,YES,spatial,96,9,2,spearman,NA,0.29,NA,NA,NA,NA,NA,0.003,NA,NA
2977,2018,4.49,YES,BIO,birds,T,richness,acoustic,YES,spatial,96,9,1,spearman,NA,0.38,NA,NA,NA,NA,NA,0,NA,NA
2977,2018,4.49,YES,BIO,birds,T,richness,acoustic,YES,spatial,96,9,2,spearman,NA,0.28,NA,NA,NA,NA,NA,0.005,NA,NA
2977,2018,4.49,YES,AEI,birds,T,richness,acoustic,YES,spatial,96,9,1,spearman,NA,0.29,NA,NA,NA,NA,NA,0.004,NA,NA
2977,2018,4.49,YES,AEI,birds,T,richness,acoustic,YES,spatial,96,9,2,spearman,NA,0.46,NA,NA,NA,NA,NA,0,NA,NA
2977,2018,4.49,YES,ADI,birds,T,richness,acoustic,YES,spatial,96,9,1,spearman,NA,-0.25,NA,NA,NA,NA,NA,0.014,NA,NA
2977,2018,4.49,YES,ADI,birds,T,richness,acoustic,YES,spatial,96,9,2,spearman,NA,-0.42,NA,NA,NA,NA,NA,0,NA,NA
2977,2018,4.49,YES,NDSI,birds,T,richness,acoustic,YES,spatial,96,9,1,spearman,NA,0.31,NA,NA,NA,NA,NA,0.002,NA,NA
2977,2018,4.49,YES,NDSI,birds,T,richness,acoustic,YES,spatial,96,9,2,spearman,NA,0.31,NA,NA,NA,NA,NA,0.001,NA,NA
2977,2018,4.49,YES,H,birds,T,richness,acoustic,YES,spatial,96,9,1,spearman,NA,-0.14,NA,NA,NA,NA,NA,0.16,NA,NA
2977,2018,4.49,YES,H,birds,T,richness,acoustic,YES,spatial,96,9,2,spearman,NA,-0.15,NA,NA,NA,NA,NA,0.14,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,47,47,1,pearson,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,47,47,2,pearson,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,50,50,3,pearson,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,diversity,no_acoustic,NO,NA,47,47,1,pearson,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,diversity,no_acoustic,NO,NA,47,47,2,pearson,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,diversity,no_acoustic,NO,NA,50,50,3,pearson,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,10,10,4,pearson,NA,0.4,0.23,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,10,10,5,pearson,NA,0.44,0.24,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,10,10,6,pearson,NA,0.39,0.25,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,10,10,7,pearson,NA,0.4,0.25,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,10,10,8,pearson,NA,0.4,0.24,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,H,birds,T,richness,no_acoustic,NO,NA,10,10,9,pearson,NA,0.43,0.23,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,47,47,1,pearson,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,47,47,2,pearson,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,50,50,3,pearson,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,diversity,no_acoustic,NO,NA,47,47,1,pearson,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,diversity,no_acoustic,NO,NA,47,47,2,pearson,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,diversity,no_acoustic,NO,NA,50,50,3,pearson,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,10,10,4,pearson,NA,0.54,0.16,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,10,10,5,pearson,NA,0.57,0.16,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,10,10,6,pearson,NA,0.55,0.18,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,10,10,7,pearson,NA,0.55,0.17,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,10,10,8,pearson,NA,0.54,0.16,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,ADI,birds,T,richness,no_acoustic,NO,NA,10,10,9,pearson,NA,0.56,0.17,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,AEI,birds,T,richness,no_acoustic,NO,NA,47,47,1,pearson,NA,-0.4,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,AEI,birds,T,richness,no_acoustic,NO,NA,47,47,2,pearson,NA,-0.54,NA,NA,NA,NA,NA,NA,NA,NA
2740,2017,3.98,YES,AEI,birds,T,richness,no_acoustic,NO,NA,50,50,3,pearson,NA,-0.57,NA,NA,NA,NA,NA,NA,NA,NA
